Gene_ID	Amelonado	Contamana	Criollo	Curaray	Guianna	Iquitos	Maranon	Nacional	Nanay	Purus	#_of_populations
Thecc1EG010899t1	0	0	0	0	1	1	0	0	0	0	2
Thecc1EG010900t1	0	0	0	0	1	1	0	0	0	0	2
Thecc1EG010904t1	0	0	0	0	1	1	0	0	0	0	2
Thecc1EG010907t1	0	0	0	0	1	1	0	0	0	0	2
Thecc1EG010908t1	0	0	0	0	1	1	0	0	0	0	2
Thecc1EG010909t1	0	0	0	0	1	1	0	0	0	0	2
Thecc1EG011092t1	0	1	0	0	0	1	1	0	0	1	4
Thecc1EG011260t5	0	0	0	0	0	1	0	0	0	1	2
Thecc1EG011926t1	1	0	0	0	0	1	1	0	0	0	3
Thecc1EG011927t1	1	0	0	0	0	1	1	0	0	0	3
Thecc1EG011929t1	1	0	0	0	0	1	1	0	0	0	3
Thecc1EG011930t1	1	0	0	0	0	1	1	0	0	0	3
Thecc1EG011962t1	0	1	0	0	0	0	0	0	1	0	2
Thecc1EG011963t1	0	1	0	0	0	0	0	0	1	0	2
Thecc1EG011964t1	0	1	0	0	0	0	0	0	1	0	2
Thecc1EG011965t1	0	1	0	0	0	0	0	0	1	0	2
Thecc1EG011966t1	0	1	0	0	0	0	0	0	1	0	2
Thecc1EG011967t3	0	1	0	0	0	0	0	0	1	0	2
Thecc1EG012142t1	0	1	0	0	0	0	0	1	0	1	3
Thecc1EG012593t5	0	1	0	0	0	0	0	0	1	0	2
Thecc1EG012594t1	0	1	0	0	0	0	0	0	1	0	2
Thecc1EG012595t1	0	1	0	0	0	0	0	0	1	0	2
Thecc1EG012596t1	0	1	0	0	0	0	0	0	1	0	2
Thecc1EG012602t1	0	0	0	1	0	0	1	0	0	0	2
Thecc1EG012604t1	0	0	0	1	0	0	1	0	0	0	2
Thecc1EG012637t1	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012639t1	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012671t1	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012672t1	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012673t1	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012698t1	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012700t1	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012701t1	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012703t1	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012713t1	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012715t2	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012717t1	0	0	1	0	0	0	1	0	0	0	2
Thecc1EG012953t1	0	0	0	0	0	0	1	0	1	0	2
Thecc1EG012954t1	0	0	0	0	0	0	1	0	1	0	2
Thecc1EG012957t1	0	0	0	0	0	0	1	0	1	0	2
Thecc1EG013401t1	1	0	0	0	0	1	0	0	0	0	2
Thecc1EG013720t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG013721t1	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG013723t2	0	0	0	1	0	0	0	0	1	0	2
Thecc1EG014020t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG014021t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG014026t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG014027t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG014028t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG014030t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG014031t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG014033t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG014036t1	0	0	0	0	1	0	1	0	0	0	2
Thecc1EG015512t1	0	1	0	0	1	0	0	0	0	0	2
Thecc1EG015513t1	0	1	0	0	1	0	0	0	0	0	2
Thecc1EG015610t1	0	0	0	0	1	0	1	0	0	0	2
